   Depth      Permea    Poro
   2939.50    45.000    19.300
   2940.50    30.000    18.200
   2941.50    40.000    18.900
   2942.50     1.400    12.600
   2943.50     7.400    14.000
   2944.50    21.000    17.500
   2945.50    19.000    18.000
   2946.50    14.000    16.300
   2947.50    51.000    18.700
   2948.50    25.000    16.800
   2949.50     4.600    12.600
   2950.50    13.000    17.500
   2951.50    11.000    17.300
   2952.50     0.010     0.100
   2953.50    15.000    18.200
   2954.50    50.000    19.200
   2955.50    16.000    16.000
   2956.50    47.000    18.000
   2957.50    49.000    16.600
   2958.50     3.000    12.300
   2959.50     0.910    10.800
   2960.50     0.010     0.100
   2961.50     0.010     0.100
   2962.50     0.010     0.100
   2963.50     0.480    11.600
   2964.50     0.260    11.000
   2965.50     0.310    11.000
   2940.50    50.000    14.700
   2941.50    22.000    16.800
   2942.50   125.000    22.300
   2943.50    42.000    18.100
   2944.50    40.000    17.800
   2945.50    21.000    17.500
   2946.50    49.000    19.000
   2947.50    14.000    16.900
   2948.50    45.000    18.700
   2949.50    41.000    17.900
   2950.50     7.000    14.300
   2951.50     1.800    11.700
   2952.50    25.000    17.300
   2953.50    37.000    17.600
   2954.50    59.000    17.900
   2955.50    17.000    16.300
   2956.50    29.000    17.500
   2957.50     6.300    15.100
   2958.50     1.800    13.700
   2967.50     3.400    14.700
   2968.50     0.010     0.100
   2969.50     4.900    15.700
   2970.50    32.000    16.800
   2971.50     7.100    14.600
   2972.50     2.700    11.000
   2988.50    13.000    15.900
   2989.50    21.000    15.800
   2990.50    12.000    14.600
   2991.50    11.000    14.900
   2992.50    11.000    14.800
   2993.50     1.000    14.900
   2994.50     2.700    14.400
   2995.50     8.600    15.700
   2996.50     6.400    15.100
   2997.50     5.900    14.800
   2998.50     4.900    14.700
   2999.50     2.000    13.500
   3000.50     8.100    15.400
   3001.50     9.100    15.000
   3002.50     6.700    14.400
   3003.50     6.300    14.200
   3004.50    10.000    15.200
   3005.50     3.900    14.100
   3006.50    11.000    14.700
   3011.50     0.860    10.100
   2950.50    27.000    15.000
   2951.50     7.300    14.000
   2952.50    11.000    15.000
   2953.50    24.000    14.000
   2954.50    16.000    14.000
   2955.50    31.000    15.000
   2956.50     7.900    16.000
   2957.50    17.000    16.000
   2958.50    11.000    15.000
   2959.50     3.100    14.000
   2960.50    25.000    15.000
   2961.50     1.200    11.000
   2962.50     2.900    12.000
   2963.50     2.800    11.000
   2964.50     2.300    12.000
   2965.50     2.000    11.000
   2966.50     2.400    12.000
   2967.50     1.800    11.000
   2968.50     5.000    12.000
   2969.50     3.900    14.000
   2970.50     1.600    12.000
   2971.50     2.500    11.000
   2972.50     1.000    11.000
   2973.50     1.200    12.000
   2974.50     1.000    12.000
   2975.50     1.600    11.000
   2976.50     1.500    12.000
   2977.50     1.900    11.000
   2978.50     1.200    13.000
   2979.50     1.200    12.000
   2980.50     1.100    12.000
   2981.50     1.800    11.000
   2982.50     1.400    11.000
   2953.50    16.000    20.400
   2954.50    40.000    21.400
   2955.50    28.000    18.300
   2956.50     7.300    16.600
   2957.50     8.300    19.300
   2958.50    25.000    20.400
   2959.50    20.000    19.100
   2960.50    43.000    20.400
   2961.50    20.000    18.800
   2962.50    32.000    19.800
   2963.50    23.000    18.400
   2964.50    22.000    18.300
   2965.50    14.000    17.200
   2966.50     5.900    16.100
   2967.50    14.000    18.200
   2968.50    20.000    18.600
   2969.50     7.900    16.500
   2970.50    15.000    17.500
   2971.50    12.000    17.200
   2972.50    30.000    19.000
   2973.50    17.000    17.700
   2974.50    17.000    18.000
   2975.50    21.000    18.700
   2976.50    12.000    17.300
   2977.50    11.000    17.600
   2978.50     4.200    15.900
   2979.50     1.800    12.900
   2980.50     0.810    12.100
   2983.50     0.120    10.200
   2984.50     0.340    10.900
   2985.50     0.380    11.600
   2986.50     0.300    11.300
   2987.50     0.300    11.600
   2988.50     0.300    11.400
   2989.50     0.190    10.500
   2990.50     0.300    11.900
   2991.50     0.230    11.200
   2992.50     0.190    11.300
   2993.50     0.340    13.000
   2994.50     0.450    13.100
   2995.50     0.300    11.900
   2996.50     0.340    12.500
   2997.50     0.770    13.600
   2998.50     0.770    12.500
   2999.50     2.230    13.500
   3000.50     1.000    12.800
   3001.50     0.450    12.000
   3002.50     0.810    12.900
   3003.50     0.970    13.300
   3004.50     1.300    13.300
   3005.50     1.900    13.800
   3006.50     1.840    14.000
   3007.50     0.850    13.500
   3008.50     0.530     7.530
   3009.50     1.090    13.600
   3010.50     7.180    15.400
   3011.50     1.010    13.200
   3012.50     0.700    12.700
   3013.50     2.840    14.100
   3014.50     1.300    13.400
   3015.50     0.570    12.800
   3016.50     0.810    13.200
   3017.50     0.660    12.100
   3018.50     0.450    11.900
   3019.50     0.490    10.900
   3020.50     0.340     9.200
   3009.50     1.000    13.700
   3010.50     3.000    13.400
   3011.50     0.010    11.400
   3012.50     0.010    11.900
   3013.50    45.000    13.300
   3014.50     1.000    14.300
   3015.50     1.000    12.900
   3016.50     1.000    13.700
   3017.50     1.000    14.200
   3018.50     0.010     0.100
   3019.50     0.010     0.100
   3020.50     0.010     0.100
   2974.50   124.000    19.800
   2975.50    13.000    15.800
   2976.50    15.000    17.600
   2977.50     8.100    16.000
   2978.50     7.700    16.600
   2979.50     0.850    10.100
   2980.50    21.000    18.700
   2981.50     0.410     9.400
   2982.50     3.300    14.000
   2983.50    13.000    18.600
   2984.50    23.000    18.500
   2985.50    11.000    16.600
   2986.50    22.000    17.200
   2987.50     6.500    17.700
   2988.50    22.000    16.900
   2989.50    31.000    17.500
   2990.50    29.000    17.900
   2991.50    34.000    18.400
   2992.50    53.000    19.200
   2993.50    46.000    18.800
   2994.50    35.000    18.800
   2995.50    59.000    19.100
   2996.50    47.000    19.500
   2997.50   137.000    20.200
   2998.50    39.000    18.400
   2999.50     0.610    10.400
   3000.50     1.500    11.900
   3001.50    12.000    19.200
   3002.50     0.230    12.100
   2969.50    40.200    16.100
   2970.50     4.490    12.300
   2971.50    11.400    13.700
   2972.50    10.000    14.000
   2973.50    17.600    14.400
   2974.50     7.220    13.500
   2975.50    10.000    14.300
   2976.50     8.160    12.500
   2977.50    12.700    15.000
   2978.50     2.520    11.800
   2979.50     2.520    12.400
   2980.50     5.630    13.600
   2981.50     7.710    14.200
   2982.50     6.460    13.100
   2983.50    11.300    13.400
   2984.50     6.120    13.100
   2985.50     1.780    10.600
   2986.50     0.220     9.200
   2987.50     0.030     8.400
   2988.50     0.010     5.000
   2989.50     0.340    11.800
   2990.50     0.340     9.500
   2991.50     0.070     9.200
   2992.50     0.190    10.500
   2993.50     0.110     8.800
   2994.50     0.340    10.800
   2995.50     0.220    12.500
   2996.50     0.100    11.200
   2997.50     0.270    11.000
   2998.50     0.450    11.200
   2999.50     0.120    10.500
   3000.50     0.020     2.300
   2953.50    24.200    16.000
   2954.50    22.400    15.900
   2955.50    28.700    16.700
   2956.50    21.500    15.400
   2957.50    20.600    15.200
   2958.50     5.530    14.300
   2959.50     5.740    14.900
   2960.50    35.500    17.700
   2961.50    14.300    17.100
   2962.50    14.300    14.400
   2963.50    24.200    15.100
   2964.50    11.900    15.700
   2965.50     7.930    15.700
   2966.50     9.460    15.200
   2967.50     9.400    14.500
   2968.50    18.500    15.900
   2969.50     1.400    13.200
   2970.50     4.200    13.300
   2971.50     0.490    12.300
   2972.50    25.000    17.500
   2973.50     1.810    10.900
   2974.50     0.210    12.200
   2975.50     0.110     9.200
   2976.50     0.060     7.500
   2992.50     8.900    14.500
   2993.50    14.000    15.000
   2994.50    11.000    14.500
   2995.50     7.300    14.100
   2996.50    11.000    14.100
   2997.50    13.000    14.100
   2998.50     5.100    12.500
   2999.50    13.000    14.200
   3000.50    13.000    14.200
   3001.50     9.900    13.900
   3002.50    11.000    13.900
   3003.50    13.000    14.200
   3004.50    20.000    14.800
   3005.50    18.000    14.500
   3006.50    26.000    15.000
   3007.50    14.000    13.900
   3008.50    13.000    13.500
   3009.50     0.160     8.000
   3010.50     0.840     8.100
   3011.50     0.180     8.600
   3012.50     0.110     8.100
   3013.50     0.090     8.800
   3014.50     0.100     8.400
   3015.50     0.130     8.300
   3016.50     0.110     8.800
   3017.50     0.600    11.100
   3018.50     0.110     9.200
   3019.50     1.100    11.200
   3020.50     0.680    12.700
   3021.50     0.410    11.500
   3022.50     0.820    12.500
   3023.50     0.080     9.600
   3024.50     0.150    11.600
   3025.50     0.230    12.400
   3026.50     0.160    12.200
   3027.50     0.730    12.700
   3028.50    11.000    13.500
   3029.50     0.530    12.700
   3030.50     0.070    10.100
   3031.50     0.010     5.900
   3032.50     0.150     7.300
   2972.50    10.300    15.000
   2973.50     7.510    13.700
   2974.50    10.300    14.000
   2975.50    13.100    14.400
   2976.50    13.100    14.400
   2977.50     0.000    13.900
   2978.50     7.480    13.100
   2979.50     4.870    12.400
   2980.50     1.350    11.500
   2981.50     0.380    11.300
   2982.50     0.050     7.300
   2983.50    17.000     7.400
   2984.50    18.300     8.500
   2985.50     0.080     7.000
   2986.50     0.180     9.400
   2987.50     0.120    10.200
   2988.50     0.280    10.200
   2989.50     0.170     9.400
   2990.50     3.250    13.100
   2991.50     0.310    12.500
   2992.50     6.270    14.200
   2993.50     6.400    15.000
   2994.50    64.700    14.200
   2995.50     4.300    14.000
   2996.50     0.680    12.900
   2997.50     0.380    12.400
   2998.50     0.180    10.600
   2999.50     0.020     2.800
   3000.50     0.300     2.700
   3001.50     0.880     2.700
   3002.50     0.110     4.100
   3003.50     0.180     1.700
