x,y,tvd,md,well
457004.6545,6782708.041,1528.179613,1538.283791,A10
457004.7562,6782708.024,1528.291731,1538.436092,A10
457004.8578,6782708.007,1528.40385,1538.588391,A10
457004.9595,6782707.99,1528.516047,1538.740792,A10
457005.0613,6782707.972,1528.628393,1538.893392,A10
457005.1629,6782707.955,1528.740521,1539.045692,A10
457005.2646,6782707.938,1528.852725,1539.198092,A10
457005.3662,6782707.921,1528.964857,1539.350391,A10
457005.4679,6782707.904,1529.077068,1539.502792,A10
457005.5697,6782707.886,1529.189354,1539.655292,A10
457005.6713,6782707.869,1529.301569,1539.807692,A10
457005.773,6782707.852,1529.413712,1539.959992,A10
457005.8746,6782707.835,1529.525933,1540.112392,A10
457005.9764,6782707.818,1529.638303,1540.264992,A10
457006.078,6782707.8,1529.750456,1540.417292,A10
457006.1796,6782707.783,1529.862611,1540.569591,A10
457006.2813,6782707.766,1529.974843,1540.721992,A10
457006.3831,6782707.749,1530.087226,1540.874592,A10
457006.4846,6782707.732,1530.199389,1541.026891,A10
457006.5863,6782707.714,1530.31163,1541.179292,A10
457006.6879,6782707.697,1530.423799,1541.331592,A10
457006.7895,6782707.68,1530.536043,1541.483991,A10
457006.8912,6782707.663,1530.648366,1541.636492,A10
457006.9929,6782707.646,1530.760617,1541.788892,A10
457007.0944,6782707.629,1530.872797,1541.941192,A10
457007.1961,6782707.611,1530.985052,1542.093591,A10
457007.2978,6782707.594,1531.09746,1542.246192,A10
457007.3994,6782707.577,1531.209648,1542.398492,A10
457007.5009,6782707.56,1531.321839,1542.550792,A10
457007.6025,6782707.543,1531.434106,1542.703192,A10
457007.7043,6782707.525,1531.546523,1542.855792,A10
457007.8058,6782707.508,1531.658722,1543.008092,A10
457007.9075,6782707.491,1531.770997,1543.160492,A10
457008.009,6782707.474,1531.8832,1543.312791,A10
457008.1106,6782707.457,1531.995482,1543.465192,A10
457008.2123,6782707.439,1532.107839,1543.617692,A10
457008.3139,6782707.422,1532.220126,1543.770092,A10
457008.4154,6782707.405,1532.332342,1543.922392,A10
457008.517,6782707.388,1532.444634,1544.074791,A10
457008.6187,6782707.371,1532.557077,1544.227392,A10
457008.7202,6782707.354,1532.669301,1544.379692,A10
457008.8217,6782707.336,1532.781527,1544.531992,A10
457008.9233,6782707.319,1532.89383,1544.684392,A10
457009.025,6782707.302,1533.006284,1544.836992,A10
457009.1265,6782707.285,1533.118519,1544.989292,A10
457009.2281,6782707.268,1533.23083,1545.141692,A10
457009.3296,6782707.25,1533.34307,1545.293992,A10
457009.4312,6782707.233,1533.455385,1545.446391,A10
457009.5328,6782707.216,1533.567779,1545.598892,A10
457009.6344,6782707.199,1533.680101,1545.751292,A10
457009.7359,6782707.182,1533.792351,1545.903591,A10
457009.8374,6782707.165,1533.90468,1546.055992,A10
457009.9391,6782707.147,1534.017156,1546.208591,A10
457010.0406,6782707.13,1534.129415,1546.360891,A10
457010.1421,6782707.113,1534.241677,1546.513191,A10
457010.2436,6782707.096,1534.354017,1546.665592,A10
457010.3453,6782707.079,1534.466506,1546.818192,A10
457010.4467,6782707.062,1534.578777,1546.970492,A10
457010.5483,6782707.044,1534.691124,1547.122892,A10
457010.6497,6782707.027,1534.8034,1547.275192,A10
