depth,poro,perm,well
1727.629,0.253991,139.00887,A10
1728.129,0.243727,140.79095,A10
1728.629,0.23047,134.62997,A10
1729.129,0.231272,125.77345,A10
1729.629,0.236562,115.89687,A10
1730.129,0.244469,106.52203,A10
1730.629,0.253212,98.134865,A10
1731.129,0.254224,93.221909,A10
1731.629,0.252767,92.577087,A10
1732.129,0.251738,88.371841,A10
1732.629,0.250845,78.106583,A10
1733.129,0.258285,68.023735,A10
1733.629,0.268385,60.116432,A10
1734.129,0.259875,67.997063,A10
1734.629,0.245423,96.011894,A10
1735.129,0.264817,112.33067,A10
1735.629,0.295019,106.79032,A10
1736.129,0.28115,92.711372,A10
1736.629,0.25321,74.346931,A10
1737.129,0.253296,86.960648,A10
1737.629,0.262331,141.81183,A10
1738.129,0.276334,202.93578,A10
1738.629,0.291923,258.8493,A10
1739.129,0.271575,306.45889,A10
1739.629,0.239753,344.77676,A10
1740.129,0.235392,335.28369,A10
1740.629,0.239799,265.68094,A10
1741.129,0.240351,193.61295,A10
1741.629,0.239674,137.485,A10
1742.129,0.253522,94.839989,A10
1742.629,0.272007,64.893402,A10
1743.129,0.275076,46.951881,A10
1743.629,0.273223,40.794044,A10
1744.129,0.278033,46.573257,A10
1744.629,0.284971,64.338493,A10
1745.129,0.273164,93.417519,A10
1745.629,0.255372,133.5957,A10
1746.129,0.25292,161.29245,A10
1746.629,0.255366,168.97868,A10
1747.129,0.253636,164.11971,A10
1747.629,0.250572,149.09909,A10
1748.129,0.260722,123.0558,A10
1748.629,0.275092,85.71492,A10
1749.129,0.267023,65.114876,A10
1749.629,0.25179,70.208015,A10
1750.129,0.241199,77.252533,A10
1750.629,0.232091,78.667915,A10
1751.129,0.227728,71.420425,A10
1751.629,0.224879,54.541428,A10
1752.129,0.235262,51.358719,A10
1752.629,0.249869,69.320618,A10
1753.129,0.24577,86.090919,A10
1753.629,0.235699,94.537949,A10
1754.129,0.233537,87.470276,A10
1754.629,0.2339,62.591785,A10
1755.129,0.241334,69.115173,A10
1755.629,0.251026,122.75352,A10
1756.129,0.252459,174.32942,A10
1756.629,0.251254,208.14107,A10
1757.129,0.24115,197.12331,A10
1757.629,0.228206,132.63458,A10
1758.129,0.23516,95.348846,A10
1758.629,0.248467,111.02442,A10
1759.129,0.263318,153.34612,A10
1759.629,0.278662,213.91177,A10
1760.129,0.272906,289.20117,A10
1760.629,0.260413,378.09027,A10
1761.129,0.244482,409.08066,A10
1761.629,0.227453,359.34369,A10
1762.129,0.232466,278.58423,A10
1762.629,0.244517,182.67252,A10
1763.129,0.248852,110.90583,A10
1763.629,0.250724,75.831406,A10
1764.129,0.246934,58.601116,A10
1764.629,0.241337,53.196995,A10
1765.129,0.242693,53.74057,A10
1765.629,0.24627,58.354916,A10
1766.129,0.249756,61.161438,A10
1766.629,0.253212,60.283173,A10
1767.129,0.247032,59.420242,A10
1767.629,0.237775,59.754059,A10
1768.129,0.226605,60.422966,A10
1768.629,0.214824,61.151855,A10
1769.129,0.228329,59.18528,A10
1769.629,0.249907,53.643463,A10
1770.129,0.237502,81.432343,A10
1770.629,0.214247,154.33559,A10
1771.129,0.22469,251.31778,A10
1771.629,0.245893,365.66254,A10
1772.129,0.251528,393.97736,A10
1772.629,0.252194,303.25012,A10
1773.129,0.237296,205.27452,A10
1773.629,0.217429,135.7451,A10
1774.129,0.228397,90.243881,A10
1774.629,0.249209,67.36026,A10
1775.129,0.247307,60.285351,A10
1775.629,0.238152,66.845146,A10
1776.129,0.229924,78.218781,A10
